	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
1947	2085	2006-04-16	Aston Villa	Birmingham	3	1	9	12	7	8	1	1	22	12	H	D	4	3	0	0	2.15	3.0	3.1	05	1	0.7575757575757576	1.3636363636363635	1.1515151515151518	0.21212121212121218	0.18181818181818182	1.03030303030303	1.393939393939394	1.5454545454545454	0.06060606060606061	0.3333333333333333
1948	2086	2006-04-16	Blackburn	Liverpool	0	1	6	7	3	2	0	1	12	11	A	A	3	2	0	0	2.75	3.1	2.3	05	0	1.4117647058823526	0.6470588235294118	1.411764705882353	0.11764705882352941	0.23529411764705882	1.3636363636363635	1.1818181818181819	1.9696969696969702	0.15151515151515152	0.30303030303030304
1949	2087	2006-04-17	Charlton	Portsmouth	2	1	16	11	9	5	0	1	10	17	H	A	1	1	0	0	2.4	3.4	2.4	05	0	0.9117647058823529	1.6176470588235294	1.4411764705882353	0.029411764705882353	0.29411764705882354	1.1176470588235297	1.2941176470588236	1.2352941176470587	0.08823529411764706	0.3235294117647059
1950	2088	2006-04-17	Chelsea	Everton	3	0	15	4	8	2	1	0	6	6	H	H	0	0	0	1	1.22	5.0	9.5	05	0	0.9117647058823528	1.2941176470588236	1.8235294117647058	0.17647058823529413	0.35294117647058826	1.9411764705882353	0.5882352941176471	1.6176470588235294	0.14705882352941177	0.2647058823529412
1951	2089	2006-04-17	Middlesbrough	West Ham	2	0	12	14	8	6	1	0	6	12	H	H	0	1	0	0	2.3	3.4	2.5	05	0	1.411764705882353	1.4705882352941178	1.411764705882353	0.029411764705882353	0.38235294117647056	1.3636363636363635	1.6666666666666667	1.4545454545454546	0.09090909090909091	0.48484848484848486
1952	2090	2006-04-17	Sunderland	Newcastle	1	4	12	9	6	4	1	0	16	21	A	H	1	2	0	0	3.75	3.3	1.8	05	1	1.147058823529412	1.2058823529411764	1.7058823529411764	0.17647058823529413	0.29411764705882354	0.6363636363636364	1.7272727272727275	1.696969696969697	0.12121212121212122	0.30303030303030304
1953	2091	2006-04-17	Tottenham	Man United	1	2	15	11	8	5	0	2	7	15	A	A	1	1	0	0	3.1	3.3	2.0	05	0	1.9411764705882353	0.8823529411764708	1.588235294117647	0.058823529411764705	0.35294117647058826	1.4411764705882353	0.9705882352941176	1.4411764705882353	0.11764705882352941	0.29411764705882354
1954	2092	2006-04-17	West Brom	Bolton	0	0	9	8	1	3	0	0	13	16	D	D	0	0	0	0	2.3	3.2	2.62	05	0	1.303030303030303	1.1515151515151518	1.7575757575757576	0.09090909090909091	0.24242424242424243	0.8529411764705882	1.5294117647058822	1.2941176470588236	0.058823529411764705	0.20588235294117646
1955	2093	2006-04-18	Wigan	Aston Villa	3	2	18	9	11	4	1	0	10	13	H	H	2	2	0	0	1.9	3.2	3.5	05	1	1.0882352941176467	1.3823529411764706	1.6176470588235294	0.058823529411764705	0.35294117647058826	1.1470588235294117	1.2647058823529413	1.3529411764705883	0.058823529411764705	0.20588235294117646
1956	2094	2006-04-19	Birmingham	Blackburn	2	1	12	12	6	6	0	0	15	12	H	D	5	0	0	0	2.25	3.3	2.62	05	0	1.3235294117647058	1.1764705882352942	2.0000000000000004	0.14705882352941177	0.29411764705882354	0.7647058823529411	1.411764705882353	1.2058823529411766	0.20588235294117652	0.20588235294117646
1957	2095	2006-04-22	Arsenal	Tottenham	1	1	9	9	6	6	0	0	9	9	D	D	1	1	0	1	1.61	3.3	5.0	05	0	1.4285714285714286	1.0	1.4285714285714286	0.11428571428571428	0.2857142857142857	1.6764705882352942	0.7941176470588235	1.5588235294117647	0.058823529411764705	0.29411764705882354
1958	2096	2006-04-22	Bolton	Charlton	4	1	13	5	11	3	3	0	14	12	H	H	0	0	0	0	1.83	3.3	3.6	05	1	1.142857142857143	1.2857142857142858	1.2285714285714284	0.08571428571428572	0.3142857142857143	1.2647058823529411	1.1176470588235297	1.7058823529411764	0.08823529411764706	0.23529411764705882
1959	2097	2006-04-22	Everton	Birmingham	0	0	17	6	9	2	0	0	15	18	D	D	0	4	0	0	2.15	3.3	2.8	05	0	0.8	1.4	1.3142857142857145	0.20000000000000004	0.2	0.8857142857142856	1.3428571428571427	1.7714285714285714	0.2	0.34285714285714286
1960	2098	2006-04-22	Newcastle	West Brom	3	0	14	5	9	1	2	0	16	11	H	H	0	1	0	0	1.7	3.5	4.0	05	0	0.8285714285714286	1.4857142857142858	1.2571428571428571	0.05714285714285714	0.2	1.2285714285714289	1.2	1.7142857142857142	0.17142857142857143	0.3142857142857143
1961	2099	2006-04-22	Portsmouth	Sunderland	2	1	23	7	15	6	0	0	9	15	H	D	2	3	0	0	1.33	4.0	8.0	05	0	0.6470588235294118	1.7941176470588238	1.6764705882352942	0.11764705882352941	0.3235294117647059	0.9142857142857143	1.6285714285714286	1.4285714285714286	0.02857142857142857	0.2857142857142857
1962	2100	2006-04-24	Fulham	Wigan	1	0	12	21	6	10	1	0	11	9	H	H	4	2	0	0	2.0	3.2	3.2	05	0	1.2	1.2857142857142858	1.3714285714285714	0.05714285714285714	0.22857142857142856	1.2647058823529411	1.6176470588235292	1.5588235294117647	0.058823529411764705	0.38235294117647056
1963	2101	2006-04-25	Aston Villa	Man City	0	1	10	15	5	6	0	0	12	9	A	D	1	1	0	0	2.15	3.1	3.0	05	0	1.1764705882352944	1.2058823529411766	1.7941176470588238	0.11764705882352941	0.20588235294117646	1.1142857142857139	1.4285714285714286	1.6285714285714286	0.05714285714285714	0.37142857142857144
1964	2102	2006-04-26	West Ham	Liverpool	1	2	11	13	7	7	0	1	11	7	A	A	0	0	1	1	3.75	3.3	1.8	05	1	1.3999999999999997	0.6285714285714286	1.4285714285714286	0.11428571428571428	0.22857142857142856	1.3714285714285714	1.4857142857142858	1.4	0.02857142857142857	0.37142857142857144
1965	2103	2006-04-29	Birmingham	Newcastle	0	0	15	4	5	0	0	0	9	10	D	D	2	2	0	0	2.37	3.3	2.5	05	0	1.277777777777778	1.1666666666666667	1.6666666666666667	0.16666666666666666	0.3055555555555556	0.7777777777777778	1.3611111111111112	1.388888888888889	0.1944444444444445	0.19444444444444445
1966	2104	2006-04-29	Charlton	Blackburn	0	2	7	10	3	4	0	1	10	6	A	A	3	4	0	0	2.5	3.3	2.37	05	0	1.3142857142857143	1.2	1.9428571428571433	0.14285714285714285	0.2857142857142857	1.138888888888889	1.3611111111111112	1.1944444444444442	0.08333333333333333	0.3333333333333333
1967	2105	2006-04-29	Chelsea	Man United	3	0	11	7	5	2	1	0	17	12	H	H	4	2	0	0	2.1	2.87	3.3	05	0	1.9428571428571428	0.8857142857142859	1.5714285714285714	0.05714285714285714	0.34285714285714286	1.9714285714285715	0.5714285714285714	1.5714285714285714	0.14285714285714285	0.2571428571428571
1968	2106	2006-04-29	Liverpool	Aston Villa	3	1	15	7	9	3	1	0	7	11	H	H	0	0	0	0	1.36	3.75	8.0	05	1	1.083333333333333	1.4166666666666667	1.6111111111111112	0.05555555555555555	0.3611111111111111	1.4166666666666663	0.6388888888888888	1.3888888888888888	0.1388888888888889	0.25
1969	2107	2006-04-29	Man City	Fulham	1	2	19	12	10	7	0	0	11	11	A	D	1	2	0	0	1.9	3.2	3.5	05	0	1.2571428571428571	1.5714285714285712	1.6285714285714286	0.05714285714285714	0.37142857142857144	1.1714285714285717	1.1714285714285717	1.7714285714285716	0.11428571428571428	0.2
1970	2108	2006-04-29	Middlesbrough	Everton	0	1	11	8	3	4	0	0	13	17	A	D	2	2	0	0	2.25	3.3	2.62	05	0	0.861111111111111	1.3055555555555554	1.7222222222222223	0.19444444444444445	0.3333333333333333	1.3823529411764706	1.6176470588235294	1.411764705882353	0.08823529411764706	0.47058823529411764
1971	2109	2006-04-29	Wigan	Portsmouth	1	2	13	16	7	8	1	0	11	8	A	H	3	1	1	0	2.3	3.4	2.5	05	1	0.9444444444444444	1.6111111111111112	1.4444444444444444	0.027777777777777776	0.2777777777777778	1.1666666666666667	1.2777777777777777	1.3888888888888888	0.05555555555555555	0.2222222222222222
1972	2110	2006-04-30	Tottenham	Bolton	1	0	9	14	4	6	0	0	11	12	H	D	1	5	0	0	1.57	3.3	5.5	05	0	1.3428571428571427	1.1142857142857145	1.6571428571428573	0.08571428571428572	0.2571428571428571	1.4166666666666667	1.0	1.4166666666666667	0.1388888888888889	0.2777777777777778
1973	2111	2006-05-01	Man United	Middlesbrough	0	0	17	10	6	6	0	0	11	10	D	D	2	2	0	0	1.25	5.0	8.0	05	0	1.3428571428571427	1.6	1.4285714285714286	0.08571428571428572	0.45714285714285713	1.8888888888888888	0.9444444444444446	1.5833333333333333	0.05555555555555555	0.3333333333333333
1974	2112	2006-05-01	Sunderland	Arsenal	0	3	7	7	2	4	0	3	17	8	A	A	3	0	0	0	8.0	4.5	1.28	05	0	1.6571428571428573	0.8	1.542857142857143	0.05714285714285714	0.2857142857142857	0.6571428571428571	1.8000000000000003	1.7142857142857142	0.11428571428571428	0.3142857142857143
1975	2113	2006-05-01	West Brom	West Ham	0	1	16	10	4	5	0	1	8	15	A	A	0	0	0	0	2.15	3.4	2.75	05	0	1.3611111111111112	1.5	1.3611111111111112	0.05555555555555555	0.3888888888888889	0.8055555555555557	1.5277777777777777	1.25	0.05555555555555555	0.19444444444444445
1976	2114	2006-05-02	Blackburn	Chelsea	1	0	6	7	1	2	1	0	18	6	H	H	2	2	0	0	3.1	3.3	2.0	05	0	2.0	0.5555555555555556	1.6388888888888888	0.1388888888888889	0.25	1.3333333333333333	1.1666666666666667	2.0000000000000004	0.1388888888888889	0.2777777777777778
1977	2115	2006-05-03	Bolton	Middlesbrough	1	1	17	5	9	3	0	0	9	10	D	D	1	1	0	0	1.53	3.75	4.8	05	0	1.3055555555555554	1.5555555555555556	1.4444444444444444	0.08333333333333333	0.4444444444444444	1.3055555555555554	1.1111111111111114	1.7500000000000002	0.08333333333333333	0.25
1978	2116	2006-05-04	Man City	Arsenal	1	3	10	17	8	12	1	1	21	8	A	D	3	0	0	0	5.0	3.5	1.57	05	1	1.6944444444444446	0.7777777777777778	1.5	0.05555555555555555	0.2777777777777778	1.166666666666667	1.1944444444444446	1.7500000000000002	0.1111111111111111	0.19444444444444445
1979	2117	2006-05-04	Sunderland	Fulham	2	1	3	10	3	2	1	0	18	6	H	H	4	4	0	0	3.1	3.3	2.0	05	0	1.2777777777777777	1.5555555555555554	1.6388888888888888	0.05555555555555555	0.3611111111111111	0.6388888888888888	1.8333333333333333	1.75	0.1111111111111111	0.3055555555555556
1980	2118	2006-05-07	Arsenal	Wigan	4	2	13	8	7	3	2	2	12	16	H	D	1	1	0	1	1.25	5.0	8.0	05	1	1.162162162162162	1.2972972972972974	1.4324324324324325	0.08108108108108109	0.24324324324324326	1.7297297297297298	0.7837837837837838	1.4594594594594594	0.05405405405405406	0.2972972972972973
1981	2119	2006-05-07	Aston Villa	Sunderland	2	1	16	14	9	7	1	0	11	10	H	H	4	2	0	0	1.44	3.75	6.0	05	1	0.6756756756756757	1.8108108108108107	1.8108108108108107	0.10810810810810811	0.2972972972972973	1.0810810810810807	1.4594594594594594	1.5675675675675675	0.05405405405405406	0.3783783783783784
1982	2120	2006-05-07	Blackburn	Man City	2	0	6	11	2	4	1	0	20	9	H	H	2	4	1	0	1.7	3.3	4.33	05	0	1.1621621621621625	1.2432432432432434	1.7837837837837838	0.10810810810810811	0.21621621621621623	1.3243243243243243	1.135135135135135	2.0000000000000004	0.13513513513513514	0.2702702702702703
1983	2122	2006-05-07	Everton	West Brom	2	2	22	6	18	5	0	1	16	18	D	A	1	2	0	0	1.57	3.3	5.5	05	1	0.7837837837837839	1.5135135135135136	1.2162162162162162	0.05405405405405406	0.1891891891891892	0.8648648648648648	1.2702702702702702	1.7297297297297298	0.1891891891891892	0.32432432432432434
1984	2123	2006-05-07	Fulham	Middlesbrough	1	0	8	6	3	3	0	0	8	12	H	D	0	1	0	0	1.66	3.3	4.5	05	0	1.2972972972972971	1.5405405405405406	1.4324324324324325	0.08108108108108109	0.43243243243243246	1.2702702702702702	1.5675675675675673	1.7027027027027026	0.05405405405405406	0.35135135135135137
1985	2124	2006-05-07	Man United	Charlton	4	0	20	8	11	3	3	0	9	6	H	H	1	0	0	0	1.2	5.0	11.0	05	1	1.1081081081081083	1.3783783783783783	1.243243243243243	0.08108108108108109	0.32432432432432434	1.837837837837838	0.9189189189189191	1.5945945945945945	0.05405405405405406	0.32432432432432434
1986	2126	2006-05-07	Portsmouth	Liverpool	1	3	6	8	4	4	0	0	5	11	A	D	1	0	0	0	4.8	3.6	1.57	05	1	1.459459459459459	0.6486486486486487	1.3513513513513513	0.13513513513513514	0.2702702702702703	0.972972972972973	1.5945945945945945	1.4324324324324325	0.02702702702702703	0.2972972972972973
1987	2127	2006-05-07	West Ham	Tottenham	2	1	12	14	7	6	1	1	17	7	H	D	1	0	0	0	3.6	3.4	1.8	05	1	1.4054054054054055	0.972972972972973	1.4054054054054055	0.13513513513513514	0.2702702702702703	1.3513513513513513	1.4594594594594594	1.3243243243243243	0.05405405405405406	0.3783783783783784
1988	2138	2006-08-22	Tottenham	Sheffield United	2	0	18	6	13	3	2	0	5	9	H	H	0	1	0	0	1.44	3.75	6.0	06	0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
1989	2139	2006-08-22	Watford	West Ham	1	1	11	8	4	4	0	0	12	12	D	D	0	0	0	0	2.5	3.1	2.5	06	0	3.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0
1990	2140	2006-08-23	Aston Villa	Reading	2	1	11	5	6	3	1	1	9	6	H	D	2	1	0	1	1.83	3.2	3.75	06	0	3.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0
1991	2141	2006-08-23	Blackburn	Everton	1	1	10	10	5	4	0	0	22	20	D	D	4	3	0	0	2.1	3.2	3.0	06	0	2.0	1.0	2.0	0.0	0.0	0.0	3.0	1.0	2.0	1.0
1992	2142	2006-08-23	Charlton	Man United	0	3	8	21	2	11	0	0	14	11	A	D	1	1	0	0	5.5	3.3	1.57	06	0	5.0	1.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	1.0
1993	2143	2006-08-23	Fulham	Bolton	1	1	11	4	4	1	0	0	9	16	D	D	0	2	0	0	2.3	3.1	2.75	06	0	2.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	1.0
1994	2144	2006-08-23	Man City	Portsmouth	0	0	6	3	3	1	0	0	15	13	D	D	2	1	0	0	2.0	3.1	3.3	06	0	3.0	0.0	2.0	0.0	1.0	0.0	3.0	3.0	1.0	0.0
1995	2145	2006-08-23	Middlesbrough	Chelsea	2	1	9	8	2	5	0	1	15	7	H	A	2	2	0	0	6.0	3.75	1.44	06	0	3.0	0.0	1.0	0.0	0.0	2.0	3.0	3.0	0.0	1.0
1996	2146	2006-08-26	Charlton	Bolton	2	0	9	7	5	2	0	0	11	17	H	D	1	4	1	1	2.37	3.1	2.62	06	0	1.5	0.5	1.0	0.0	0.0	0.5	3.0	1.5	0.5	0.5
1997	2147	2006-08-26	Fulham	Sheffield United	1	0	10	9	5	1	1	0	17	17	H	H	3	3	0	0	1.9	3.1	3.6	06	0	0.5	1.5	1.0	0.0	0.0	1.0	3.0	0.5	0.0	0.5
1998	2148	2006-08-26	Liverpool	West Ham	2	1	19	8	8	3	2	1	15	6	H	H	1	0	0	0	1.4	3.6	7.5	06	0	2.0	1.0	1.0	0.0	0.5	1.0	1.0	2.0	0.0	0.0
1999	2149	2006-08-26	Man City	Arsenal	1	0	10	17	3	6	1	0	16	8	H	H	1	1	0	0	4.5	3.1	1.72	06	0	1.0	1.0	1.0	0.0	0.0	0.0	1.5	2.5	0.5	0.0
2000	2150	2006-08-26	Tottenham	Everton	0	2	15	6	6	2	0	0	9	12	A	D	1	1	0	1	1.66	3.3	4.5	06	0	1.5	1.0	2.5	0.0	0.0	1.0	1.0	0.5	0.0	0.0
2001	2151	2006-08-26	Watford	Man United	1	2	8	19	7	10	1	1	20	14	A	D	1	1	0	0	7.5	3.6	1.4	06	1	4.0	0.5	1.0	0.0	0.5	1.0	1.5	1.0	0.0	0.0
2002	2154	2006-08-27	Blackburn	Chelsea	0	2	12	14	3	8	0	0	10	15	A	D	3	1	0	0	5.5	3.5	1.53	06	0	2.0	1.0	1.5	0.0	0.0	0.5	2.0	2.5	1.0	0.5
2003	2155	2006-08-28	Middlesbrough	Portsmouth	0	4	19	10	8	7	0	1	15	9	A	A	2	1	0	0	2.1	3.2	3.0	06	1	1.5	0.0	1.5	0.0	0.5	2.0	2.0	2.5	0.0	0.5
2004	2156	2006-09-09	Arsenal	Middlesbrough	1	1	20	1	12	1	0	1	5	17	D	A	1	6	0	1	1.3	4.33	8.0	06	0	1.3333333333333333	2.6666666666666665	2.3333333333333335	0.0	0.6666666666666666	0.5	1.0	1.0	0.0	0.0
2005	2157	2006-09-09	Bolton	Watford	1	0	7	15	2	6	0	0	13	15	H	D	3	1	0	0	1.57	3.3	5.5	06	0	1.0	1.6666666666666667	1.0	0.0	0.3333333333333333	1.0	1.0	2.0	0.3333333333333333	0.0
2006	2158	2006-09-09	Chelsea	Charlton	2	1	19	3	6	2	1	0	12	7	H	H	2	1	0	0	1.16	5.5	12.0	06	0	1.0	2.0	1.3333333333333333	0.6666666666666666	0.3333333333333333	2.0	0.6666666666666666	1.3333333333333333	0.0	0.0
2007	2159	2006-09-09	Everton	Liverpool	3	0	8	21	6	5	2	0	22	13	H	H	1	3	0	0	3.3	3.1	2.0	06	0	1.5	1.0	1.5	0.0	0.0	1.6666666666666667	0.6666666666666666	2.0	0.3333333333333333	0.0
2008	2160	2006-09-09	Man United	Tottenham	1	0	10	9	5	4	1	0	12	17	H	H	2	2	0	0	1.5	3.4	6.0	06	0	0.6666666666666666	1.3333333333333333	0.6666666666666666	0.0	0.0	3.3333333333333335	0.6666666666666666	1.0	0.0	0.6666666666666666
2009	2161	2006-09-09	Newcastle	Fulham	1	2	15	8	7	5	0	0	16	12	A	D	1	1	0	0	1.61	3.3	5.0	06	0	1.0	2.0	1.3333333333333333	0.0	0.3333333333333333	1.0	1.5	1.5	0.0	0.5
2010	2162	2006-09-09	Portsmouth	Wigan	1	0	9	11	7	5	0	0	14	5	H	D	0	1	0	0	1.66	3.3	4.5	06	0	1.0	1.0	2.0	0.0	0.5	2.3333333333333335	0.0	1.3333333333333333	0.0	0.6666666666666666
2011	2163	2006-09-09	Sheffield United	Blackburn	0	0	14	12	9	1	0	0	12	11	D	D	2	2	0	0	2.62	3.1	2.37	06	0	0.3333333333333333	2.0	2.6666666666666665	0.6666666666666666	0.3333333333333333	0.3333333333333333	1.3333333333333333	1.6666666666666667	0.0	0.0
2012	2164	2006-09-10	West Ham	Aston Villa	1	1	7	10	1	6	0	1	15	9	D	A	2	2	0	0	2.05	3.2	3.1	06	0	1.6666666666666667	0.6666666666666666	2.0	0.0	0.0	1.6666666666666667	1.3333333333333333	0.6666666666666666	0.0	0.3333333333333333
2013	2165	2006-09-11	Reading	Man City	1	0	12	15	7	8	1	0	6	16	H	H	0	4	0	1	2.3	3.1	2.75	06	0	0.3333333333333333	1.0	2.0	0.3333333333333333	0.0	1.3333333333333333	1.6666666666666667	1.3333333333333333	0.3333333333333333	0.3333333333333333
2014	2166	2006-09-16	Bolton	Middlesbrough	0	0	13	14	3	7	0	0	7	19	D	D	0	1	0	0	1.9	3.2	3.5	06	0	1.25	2.25	3.25	0.25	0.5	1.0	0.75	2.25	0.25	0.0
2015	2167	2006-09-16	Charlton	Portsmouth	0	1	18	12	5	5	0	0	6	10	A	D	0	2	0	0	2.5	3.1	2.5	06	0	2.0	0.0	1.0	0.0	0.5	1.0	2.0	1.25	0.5	0.25
2016	2168	2006-09-16	Everton	Wigan	2	2	14	10	9	7	0	0	14	23	D	D	1	5	0	0	1.66	3.3	4.5	06	1	0.6666666666666666	1.0	1.6666666666666667	0.0	0.3333333333333333	2.0	0.5	1.75	0.25	0.0
2017	2169	2006-09-16	Sheffield United	Reading	1	2	14	8	7	2	0	2	12	6	A	A	2	1	0	0	2.25	3.2	2.75	06	0	1.25	1.25	1.0	0.25	0.25	0.25	1.0	1.75	0.0	0.0
2018	2170	2006-09-16	Watford	Aston Villa	0	0	12	9	5	4	0	0	12	10	D	D	1	0	0	0	2.8	3.1	2.25	06	0	1.5	0.75	2.0	0.0	0.0	0.75	1.5	1.0	0.0	0.25
2019	2171	2006-09-17	Blackburn	Man City	4	2	11	15	5	8	2	2	11	11	H	D	2	3	0	0	2.1	3.1	3.1	06	1	0.25	1.0	2.5	0.5	0.0	0.25	1.5	2.5	0.5	0.25
2020	2172	2006-09-17	Chelsea	Liverpool	1	0	4	9	3	6	1	0	13	17	H	H	3	2	1	0	1.72	3.1	4.5	06	0	1.0	1.6666666666666667	2.0	0.0	0.0	2.0	0.75	1.5	0.0	0.0
2021	2173	2006-09-17	Man United	Arsenal	0	1	17	14	9	7	0	0	11	11	A	D	2	2	0	0	1.83	3.0	4.0	06	0	0.6666666666666666	1.0	1.0	0.0	0.0	2.75	0.5	1.25	0.0	0.5
2022	2174	2006-09-17	Tottenham	Fulham	0	0	18	8	8	3	0	0	11	20	D	D	2	2	0	0	1.61	3.3	5.0	06	0	1.25	1.75	1.25	0.0	0.25	0.5	1.25	1.0	0.0	0.0
2023	2175	2006-09-17	West Ham	Newcastle	0	2	10	16	7	9	0	0	11	11	A	D	3	3	0	0	1.9	3.2	3.5	06	0	1.0	1.6666666666666667	1.3333333333333333	0.0	0.3333333333333333	1.5	1.25	1.0	0.0	0.25
2024	2176	2006-09-20	Liverpool	Newcastle	2	0	22	11	11	6	1	0	12	13	H	H	1	1	0	0	1.5	3.4	6.0	06	0	1.25	1.25	1.75	0.0	0.25	0.75	1.5	2.0	0.0	0.0
2025	2177	2006-09-23	Arsenal	Sheffield United	3	0	14	5	11	4	0	0	11	8	H	D	2	1	0	0	1.2	5.0	11.0	06	0	0.4	1.2	1.8	0.0	0.0	0.75	0.75	1.25	0.0	0.0
2026	2178	2006-09-23	Aston Villa	Charlton	2	0	12	8	5	3	1	0	10	14	H	H	0	1	0	0	1.61	3.3	5.0	06	0	0.8	1.8	1.0	0.4	0.2	1.2	0.6	1.6	0.0	0.0
2027	2179	2006-09-23	Fulham	Chelsea	0	2	7	13	4	5	0	0	19	9	A	D	2	1	0	0	7.0	4.0	1.36	06	0	1.8	0.6	1.8	0.2	0.0	1.0	1.4	1.4	0.0	0.2
2028	2180	2006-09-23	Liverpool	Tottenham	3	0	14	5	6	1	0	0	12	9	H	D	1	0	0	0	1.57	3.3	5.5	06	0	0.4	1.0	1.2	0.0	0.0	1.0	1.2	1.8	0.0	0.0
2029	2181	2006-09-23	Man City	West Ham	2	0	17	4	8	0	0	0	12	15	H	D	0	0	0	0	2.15	3.2	2.87	06	0	1.2	1.4	1.4	0.0	0.2	0.6	1.6	2.6	0.4	0.2
2030	2182	2006-09-23	Middlesbrough	Blackburn	0	1	13	13	7	7	0	1	14	17	A	A	1	3	0	0	2.1	3.1	3.1	06	0	1.0	1.6	2.4	0.4	0.4	1.0	1.8	2.8	0.2	0.4
2031	2183	2006-09-23	Reading	Man United	1	1	3	18	1	8	0	0	6	10	D	D	0	0	0	0	6.0	3.75	1.44	06	0	2.2	0.6	1.4	0.0	0.4	1.4	1.2	1.0	0.2	0.2
2032	2184	2006-09-23	Wigan	Watford	1	1	8	10	4	4	1	0	15	15	D	H	2	2	0	0	1.7	3.2	4.5	06	0	0.6	1.2	1.0	0.0	0.2	1.0	1.25	2.5	0.0	0.5
2033	2185	2006-09-24	Newcastle	Everton	1	1	21	12	13	5	1	1	12	18	D	D	2	4	1	1	2.15	3.1	3.0	06	0	2.0	0.8	1.6	0.2	0.2	1.0	1.4	1.6	0.0	0.2
2034	2186	2006-09-25	Portsmouth	Bolton	0	1	13	4	5	3	0	1	8	13	A	A	2	2	0	0	1.8	3.1	4.0	06	0	0.8	0.6	1.8	0.2	0.0	1.8	0.0	1.2	0.0	0.4
2035	2187	2006-09-30	Bolton	Liverpool	2	0	4	13	3	6	1	0	15	12	H	H	2	1	0	0	3.1	3.1	2.1	06	0	1.3333333333333333	1.0	1.6666666666666667	0.0	0.0	0.8333333333333334	0.5	1.8333333333333333	0.16666666666666666	0.0
2036	2188	2006-09-30	Charlton	Arsenal	1	2	10	21	6	12	1	1	19	8	A	D	4	4	0	0	6.0	3.4	1.5	06	1	1.2	0.6	1.4	0.0	0.0	0.6666666666666666	1.8333333333333333	1.0	0.3333333333333333	0.16666666666666666
2037	2189	2006-09-30	Chelsea	Aston Villa	1	1	18	9	10	5	1	1	13	14	D	D	0	2	0	0	1.28	4.2	9.0	06	0	1.3333333333333333	0.5	1.3333333333333333	0.0	0.0	1.8333333333333333	0.5	1.6666666666666667	0.16666666666666666	0.0
2038	2190	2006-09-30	Everton	Man City	1	1	14	11	10	5	1	0	14	17	D	H	2	2	0	0	1.7	3.2	4.5	06	0	0.8333333333333334	1.3333333333333333	2.1666666666666665	0.3333333333333333	0.16666666666666666	1.8333333333333333	0.8333333333333334	2.0	0.3333333333333333	0.16666666666666666
2039	2191	2006-09-30	Sheffield United	Middlesbrough	2	1	13	7	7	2	1	0	8	12	H	H	1	3	0	0	2.4	3.1	2.6	06	0	0.8333333333333334	1.6666666666666667	2.5	0.16666666666666666	0.3333333333333333	0.3333333333333333	1.5	1.6666666666666667	0.0	0.0
2040	2192	2006-10-01	Blackburn	Wigan	2	1	12	11	8	6	1	1	16	17	H	D	3	4	0	0	1.8	3.1	4.0	06	1	1.0	1.2	2.4	0.0	0.4	1.0	1.3333333333333333	2.5	0.3333333333333333	0.3333333333333333
2041	2193	2006-10-01	Man United	Newcastle	2	0	24	3	11	3	1	0	5	13	H	H	1	3	0	0	1.28	4.5	8.0	06	0	1.0	1.3333333333333333	1.6666666666666667	0.16666666666666666	0.16666666666666666	2.0	0.6666666666666666	1.1666666666666667	0.0	0.3333333333333333
2042	2194	2006-10-01	Tottenham	Portsmouth	2	1	8	9	6	6	2	1	8	10	H	H	0	0	0	0	1.8	3.3	3.75	06	0	1.5	0.16666666666666666	1.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	1.3333333333333333	1.0	0.0	0.0
2043	2195	2006-10-01	West Ham	Reading	0	1	13	2	8	1	0	1	8	7	A	A	4	2	0	0	1.95	3.1	3.5	06	0	1.3333333333333333	1.1666666666666667	0.8333333333333334	0.16666666666666666	0.16666666666666666	1.0	1.5	1.1666666666666667	0.0	0.16666666666666666
2044	2196	2006-10-02	Watford	Fulham	3	3	9	9	4	3	1	0	24	12	D	H	1	3	0	0	2.37	3.1	2.62	06	1	0.8333333333333334	1.5	1.5	0.0	0.16666666666666666	0.6666666666666666	1.1666666666666667	1.1666666666666667	0.0	0.16666666666666666
2045	2197	2006-10-14	Arsenal	Watford	3	0	15	9	7	3	2	0	6	14	H	H	0	1	0	0	1.14	5.5	15.0	06	0	1.0	1.4285714285714286	1.1428571428571428	0.0	0.2857142857142857	1.3333333333333333	0.6666666666666666	1.8333333333333333	0.0	0.16666666666666666
2046	2198	2006-10-14	Aston Villa	Tottenham	1	1	12	10	6	5	0	0	13	11	D	D	0	1	0	1	2.1	3.1	3.1	06	0	0.5714285714285714	1.2857142857142858	0.8571428571428571	0.0	0.0	1.2857142857142858	0.5714285714285714	1.4285714285714286	0.0	0.0
