	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
25	37	2000-09-06	Leicester	Ipswich	2	1	12	7	6	3	0	0	12	13	H	D	1	1	0	0	1.66	3.4	4.33	00	0	1.0	1.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.0	2.3333333333333335	0.0	0.0
26	38	2000-09-06	Liverpool	Aston Villa	3	1	11	9	7	4	3	0	13	7	H	H	0	2	0	0	1.57	3.5	5.0	00	1	0.5	0.5	1.5	0.0	0.0	1.3333333333333333	1.6666666666666667	1.6666666666666667	0.6666666666666666	0.3333333333333333
27	39	2000-09-09	Bradford	Arsenal	1	1	9	18	5	11	1	0	17	13	D	H	0	2	0	0	4.5	3.5	1.61	00	0	2.25	1.5	1.0	0.5	0.5	0.5	1.75	0.75	0.0	0.25
28	40	2000-09-09	Coventry	Leeds	0	0	9	11	1	5	0	0	15	14	D	D	2	2	0	0	3.0	3.2	2.1	00	0	1.6666666666666667	1.0	1.0	0.0	0.3333333333333333	1.25	1.75	3.0	0.25	0.25
29	41	2000-09-09	Ipswich	Aston Villa	1	2	15	5	5	2	0	1	9	13	A	A	1	3	0	0	2.75	3.2	2.25	00	0	0.6666666666666666	1.3333333333333333	1.6666666666666667	0.0	0.3333333333333333	1.0	1.5	0.75	0.0	0.25
30	42	2000-09-09	Leicester	Southampton	1	0	17	9	6	5	0	0	6	9	H	D	0	0	0	0	1.66	3.4	4.33	00	0	1.75	2.0	2.25	0.0	0.5	0.75	0.25	2.0	0.0	0.0
31	43	2000-09-09	Liverpool	Man City	3	2	14	9	8	7	1	0	17	17	H	H	3	4	0	0	1.36	3.75	8.0	00	1	1.75	2.25	2.25	0.0	0.5	1.75	1.5	1.25	0.5	0.5
32	44	2000-09-09	Man United	Sunderland	3	0	15	5	7	1	1	0	18	14	H	H	1	3	0	0	1.25	4.5	10.0	00	0	1.0	1.5	2.25	0.0	0.25	2.75	0.75	1.0	0.0	0.5
33	45	2000-09-09	Middlesbrough	Everton	1	2	9	12	5	9	1	0	16	5	A	H	3	0	0	0	1.83	3.3	3.6	00	0	1.75	1.75	2.25	0.0	0.5	2.0	1.75	2.25	0.0	0.75
34	46	2000-09-09	Newcastle	Chelsea	0	0	10	10	4	3	0	0	17	21	D	D	0	3	0	0	2.4	3.25	2.5	00	0	1.75	1.75	1.5	0.0	0.5	1.75	1.0	0.5	0.25	0.25
35	47	2000-09-10	Derby	Charlton	2	2	12	10	6	6	2	0	17	12	D	H	3	1	0	0	2.0	3.2	3.2	00	1	2.0	2.25	1.5	0.5	0.5	2.25	2.5	2.5	0.0	1.0
36	48	2000-09-11	Tottenham	West Ham	1	0	15	11	7	5	0	0	14	13	H	D	1	2	0	0	1.9	3.25	3.4	00	0	1.25	2.0	2.25	0.25	0.5	1.75	1.5	0.5	0.0	0.5
37	49	2000-09-16	Arsenal	Coventry	2	1	18	6	13	2	1	0	5	13	H	H	1	2	0	0	1.25	4.33	10.5	00	0	1.0	1.4	2.8	0.2	0.2	2.0	1.4	1.2	0.4	0.4
38	50	2000-09-16	Aston Villa	Bradford	2	0	12	8	7	4	1	0	8	12	H	H	0	2	0	0	1.57	3.5	5.0	00	0	0.6	1.6	0.6	0.0	0.2	1.0	1.25	2.0	0.0	0.25
