,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HTHG,HTAG,HF,AF,FTR,HTR,HY,AY,HR,AR,WHH,WHD,WHA,Season,watch,AGS,AGA,AYC,ARC,AWW,HGS,HGA,HYC,HRC,HWW,HP,AP
36,2000-09-11,Tottenham,West Ham,1,0,15,11,7,5,0,0,14,13,H,D,1,2,0,0,1.9,3.25,3.4,0,0,1.25,2.0,2.25,0.25,0.5,1.75,1.5,0.5,0.0,0.5,4,2
37,2000-09-16,Arsenal,Coventry,2,1,18,6,13,2,1,0,5,13,H,H,1,2,0,0,1.25,4.33,10.5,0,0,1.0,1.4,2.8,0.2,0.2,2.0,1.4,1.2,0.4,0.4,8,7
38,2000-09-16,Aston Villa,Bradford,2,0,12,8,7,4,1,0,8,12,H,H,0,2,0,0,1.57,3.5,5.0,0,0,0.6,1.6,0.6,0.0,0.2,1.0,1.25,2.0,0.0,0.25,3,5
39,2000-09-16,Charlton,Tottenham,1,0,9,10,5,5,1,0,8,10,H,H,0,0,0,0,2.62,3.25,2.3,0,0,1.6,1.2,0.6,0.0,0.4,2.0,2.2,1.4,0.4,0.6,2,7
40,2000-09-16,Everton,Man United,1,3,6,17,4,9,0,3,10,11,A,A,4,1,0,0,4.33,3.3,1.7,0,1,2.8,0.6,1.0,0.0,0.4,1.8,1.6,1.8,0.0,0.4,7,8
41,2000-09-16,Leeds,Ipswich,1,2,11,12,6,7,1,1,12,19,A,D,1,3,0,0,1.5,3.4,6.0,0,1,1.0,1.6,0.8,0.0,0.2,1.25,0.75,1.25,0.0,0.25,4,4
42,2000-09-16,Southampton,Newcastle,2,0,13,10,9,7,0,0,14,14,H,D,0,0,0,0,2.75,3.25,2.2,0,0,1.4,0.8,0.4,0.2,0.2,1.4,1.8,1.8,0.0,0.4,2,10
43,2000-09-16,Sunderland,Derby,2,1,15,10,8,5,1,0,16,28,H,H,2,3,0,0,1.72,3.4,4.0,0,0,2.2,2.4,2.6,0.0,1.0,0.8,1.8,2.4,0.0,0.2,1,3
44,2000-09-17,Chelsea,Leicester,0,2,16,7,10,5,0,1,16,17,A,A,3,1,0,0,1.53,3.4,5.5,0,0,0.8,0.2,1.6,0.0,0.0,1.4,1.4,1.8,0.0,0.4,2,7
45,2000-09-17,Man City,Middlesbrough,1,1,11,4,4,2,0,0,15,11,D,D,2,5,0,0,2.3,3.25,2.62,0,0,1.8,1.8,2.4,0.0,0.6,1.8,2.4,2.6,0.0,0.6,6,2
46,2000-09-17,West Ham,Liverpool,1,1,15,7,4,2,0,1,5,13,D,A,0,2,0,0,2.62,3.25,2.3,0,0,2.0,1.6,1.6,0.4,0.6,1.0,1.8,2.2,0.2,0.4,2,7
47,2000-09-23,Bradford,Southampton,0,1,14,6,6,4,0,1,14,18,A,A,3,1,0,0,2.2,3.25,2.75,0,0,1.5,1.5,1.5,0.0,0.3333333333333333,0.5,1.6666666666666667,0.8333333333333334,0.0,0.16666666666666666,5,5
48,2000-09-23,Coventry,West Ham,0,3,9,12,2,10,0,2,12,11,A,A,0,1,0,0,2.2,3.25,2.75,0,0,1.0,1.6666666666666667,1.8333333333333333,0.16666666666666666,0.3333333333333333,1.0,1.5,2.6666666666666665,0.16666666666666666,0.16666666666666666,7,3
49,2000-09-23,Derby,Leeds,1,1,13,16,7,6,0,1,17,15,D,A,2,2,1,0,3.2,3.2,2.0,0,0,1.2,1.0,1.2,0.0,0.4,2.0,2.333333333333333,2.6666666666666665,0.0,0.8333333333333334,3,4
50,2000-09-23,Ipswich,Arsenal,1,1,17,10,6,4,0,0,8,13,D,D,1,2,0,0,4.5,3.3,1.66,0,0,2.0,1.3333333333333333,1.1666666666666667,0.3333333333333333,0.3333333333333333,1.1666666666666667,1.5,1.1666666666666667,0.0,0.3333333333333333,7,11
51,2000-09-23,Liverpool,Sunderland,1,1,11,8,6,3,1,1,14,18,D,D,2,2,0,0,1.4,3.75,7.0,0,0,1.0,1.6666666666666667,2.333333333333333,0.0,0.16666666666666666,1.8333333333333333,1.5,1.6666666666666667,0.3333333333333333,0.5,8,4
52,2000-09-23,Man United,Chelsea,3,3,11,13,5,5,3,2,15,19,D,H,3,2,0,0,1.61,3.5,4.5,0,1,1.1666666666666667,1.5,2.0,0.0,0.3333333333333333,2.833333333333333,0.6666666666666666,1.0,0.0,0.5,11,2
53,2000-09-23,Middlesbrough,Aston Villa,1,1,12,15,5,7,0,0,7,14,D,D,3,0,0,0,2.37,3.1,2.62,0,0,1.2,1.0,1.6,0.0,0.2,1.6666666666666667,1.6666666666666667,2.833333333333333,0.0,0.5,3,6
54,2000-09-23,Newcastle,Charlton,0,1,12,4,5,2,0,1,14,10,A,A,1,2,0,0,1.44,3.6,6.5,0,0,1.8333333333333333,1.8333333333333333,1.1666666666666667,0.3333333333333333,0.5,1.1666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,10,5
55,2000-09-23,Tottenham,Man City,0,0,18,7,5,2,0,0,10,14,D,D,0,2,0,0,1.53,3.4,5.5,0,0,1.6666666666666667,2.1666666666666665,2.5,0.0,0.5,1.3333333333333333,1.1666666666666667,0.5,0.0,0.3333333333333333,7,7
56,2000-09-24,Leicester,Everton,1,1,10,9,4,3,1,0,14,13,D,H,3,1,0,0,1.8,3.3,3.75,0,0,1.6666666666666667,1.8333333333333333,2.1666666666666665,0.0,0.5,1.0,0.16666666666666666,1.5,0.0,0.0,10,7
57,2000-09-30,Aston Villa,Derby,4,1,12,11,7,6,2,0,0,1,H,H,1,1,0,0,1.53,3.4,5.5,0,1,1.8571428571428568,2.142857142857143,2.571428571428572,0.14285714285714285,0.7142857142857143,1.1666666666666667,1.0,1.3333333333333333,0.0,0.16666666666666666,7,4
58,2000-09-30,Charlton,Coventry,2,2,12,10,8,6,0,1,8,16,D,A,1,2,0,0,1.8,3.3,3.75,0,1,0.8571428571428571,1.7142857142857142,2.2857142857142856,0.14285714285714285,0.14285714285714285,1.7142857142857142,1.5714285714285714,1.2857142857142858,0.2857142857142857,0.42857142857142855,8,7
59,2000-09-30,Everton,Ipswich,0,3,7,9,3,7,0,1,6,5,A,A,1,0,0,0,1.72,3.4,4.0,0,0,1.1428571428571428,1.4285714285714286,1.1428571428571428,0.0,0.2857142857142857,1.5714285714285714,1.7142857142857142,2.0,0.0,0.42857142857142855,8,8
60,2000-09-30,Leeds,Tottenham,4,3,14,10,7,5,0,1,11,20,H,A,0,2,0,0,1.72,3.4,4.0,0,1,1.1428571428571428,1.0,0.42857142857142855,0.0,0.2857142857142857,1.1666666666666667,1.0,1.3333333333333333,0.0,0.3333333333333333,5,8
61,2000-09-30,Man City,Newcastle,0,1,9,15,7,9,0,0,16,12,A,D,0,1,0,0,2.4,3.25,2.5,0,0,1.0,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,1.4285714285714286,1.8571428571428568,2.4285714285714284,0.0,0.42857142857142855,8,10
62,2000-09-30,Southampton,Middlesbrough,1,3,16,7,8,5,0,2,6,22,A,A,2,2,0,0,2.2,3.25,2.75,0,1,1.5714285714285714,1.5714285714285714,2.8571428571428568,0.0,0.42857142857142855,1.4285714285714286,1.2857142857142858,1.4285714285714286,0.0,0.2857142857142857,8,4
63,2000-09-30,West Ham,Bradford,1,1,14,9,6,6,1,0,14,10,D,H,3,2,0,0,1.44,3.6,6.5,0,0,0.42857142857142855,1.5714285714285714,1.1428571428571428,0.0,0.14285714285714285,1.2857142857142858,1.4285714285714286,1.7142857142857142,0.14285714285714285,0.2857142857142857,6,5
64,2000-10-01,Arsenal,Man United,1,0,7,13,5,4,1,0,18,17,H,H,2,3,0,0,2.5,2.9,2.62,0,0,2.8571428571428568,1.0,1.2857142857142858,0.0,0.5714285714285714,1.8571428571428568,1.2857142857142858,1.2857142857142858,0.2857142857142857,0.2857142857142857,12,12
65,2000-10-01,Chelsea,Liverpool,3,0,11,10,5,2,2,0,14,14,H,H,1,1,0,0,2.2,3.0,3.0,0,0,1.7142857142857142,1.4285714285714286,1.7142857142857142,0.2857142857142857,0.42857142857142855,1.4285714285714286,1.7142857142857142,2.0,0.0,0.42857142857142855,3,9
